JUNC,SURF,LITE,VEH1TYPE,VEH2TYPE,Hour,VEH1AGE,VEH2AGE,VEH1RESTRAINT,VEH2RESTRAINT,VEH1TESTRESULT,VEH2TESTRESULT,StateFunctionalClassCode,NumofGroupofFirstCollisionType,VEH1AIRBAG,VEH2AIRBAG,VEH1CCCODE1,VEH2CCCODE1,Injury
4,2,6,1,0,2,30,0,4,0,0,0,U2,3,1,0,18,0,0
1,1,1,12,0,15,26,0,0,0,0,0,U1,6,0,0,17,0,1
1,2,1,1,2,15,66,69,4,4,0,0,U1,9,0,1,7,18,1
1,1,1,1,2,19,22,57,4,4,0,0,U1,11,1,1,4,18,0
1,1,1,2,0,18,63,0,0,0,0,0,U2,2,0,0,1,0,1
4,1,6,1,0,23,34,0,3,0,0,0,U2,2,5,0,14,0,0
1,1,1,2,2,8,38,38,4,4,0,0,U2,9,1,1,23,18,0
1,1,1,2,1,19,25,26,4,4,0,0,U2,1,0,0,5,18,0
4,1,1,1,2,15,61,29,4,4,0,0,U5,9,1,1,7,18,1
4,1,1,2,1,14,38,54,0,4,0,0,U1,9,0,1,7,18,0
1,1,1,3,2,10,69,72,1,2,0,0,U1,9,2,2,23,18,0
4,1,4,2,0,2,30,0,4,0,0.18,0,U1,2,0,0,1,0,0
4,2,6,1,1,19,33,23,4,4,0,0,U5,10,1,1,5,18,0
4,2,6,1,1,23,40,27,4,4,0,0,U5,9,1,1,4,18,0
5,2,1,1,0,18,24,0,4,0,0,0,U5,2,1,0,4,0,0
4,2,6,1,1,20,29,27,4,4,0,0,U5,9,1,1,4,18,0
4,2,1,1,1,17,30,25,4,4,0,0,R5,9,4,1,4,18,0
4,2,1,2,0,19,21,0,4,0,0,0,U5,2,1,0,4,0,1
1,1,1,2,1,12,83,32,4,4,0,0,U1,9,1,1,7,18,0
4,2,1,1,2,13,27,30,4,4,0,0,U1,11,1,1,7,18,0
1,1,1,2,2,9,47,53,4,4,0,0,U1,1,5,4,5,18,1
3,1,1,0,1,14,0,0,0,0,0,0,U1,9,0,0,18,23,0
1,1,1,1,1,13,61,79,4,4,0,0,U1,1,1,1,5,18,0
6,1,9,2,1,12,36,46,4,4,0,0,U1,10,1,1,10,18,1
4,1,1,1,0,5,0,0,0,0,0,0,U2,2,0,0,4,0,0
1,1,1,1,1,15,18,44,4,4,0,0,U1,11,1,1,51,52,0
4,2,4,2,1,3,44,32,4,4,0,0,U5,5,1,4,8,18,1
1,1,1,1,2,15,40,24,4,4,0,0,U5,9,1,1,23,18,0
6,2,1,2,2,6,50,68,4,4,0,0,U1,4,1,4,5,18,1
4,1,1,1,1,17,26,37,4,4,0,0,U1,5,5,5,17,52,0
